sample,bin_size,PC_pair,TH,RMSE
sample_1_real_1,0.1,"1,2",-1,0.7809041622768248
sample_1_real_1,0.1,"1,3",-1,0.8168042116208677
sample_1_real_1,0.1,"1,4",-1,0.8208584597152462
sample_1_real_1,0.1,"1,5",-1,0.8051267067413502
sample_1_real_1,0.1,"1,6",-1,0.8372216955852909
sample_1_real_1,0.1,"2,3",-1,0.7782811516969267
sample_1_real_1,0.1,"2,4",-1,0.8125961339034384
sample_1_real_1,0.1,"2,5",-1,0.7825809504461774
sample_1_real_1,0.1,"2,6",-1,0.8307323616593794
sample_1_real_1,0.1,"3,4",-1,0.8053940941219667
sample_1_real_1,0.1,"3,5",-1,0.8274670357567353
sample_1_real_1,0.1,"3,6",-1,0.8517713804605683
sample_1_real_1,0.1,"4,5",-1,0.7876267014381365
sample_1_real_1,0.1,"4,6",-1,0.7331293093655596
sample_1_real_1,0.1,"5,6",-1,0.8551370145730243
sample_1_real_1,0.2,"1,2",-1,0.8319564419459755
sample_1_real_1,0.2,"1,3",-1,0.7764600198758923
sample_1_real_1,0.2,"1,4",-1,0.7898136742247591
sample_1_real_1,0.2,"1,5",-1,0.7872409274788902
sample_1_real_1,0.2,"1,6",-1,0.7782960933232689
sample_1_real_1,0.2,"2,3",-1,0.7869273022803976
sample_1_real_1,0.2,"2,4",-1,0.8055620526348636
sample_1_real_1,0.2,"2,5",-1,0.7988917377559128
sample_1_real_1,0.2,"2,6",-1,0.8380975061074281
sample_1_real_1,0.2,"3,4",-1,0.8185269703766711
sample_1_real_1,0.2,"3,5",-1,0.8265552067446323
sample_1_real_1,0.2,"3,6",-1,0.8354119023374759
sample_1_real_1,0.2,"4,5",-1,0.7697106083024389
sample_1_real_1,0.2,"4,6",-1,0.731221093663462
sample_1_real_1,0.2,"5,6",-1,0.8352866208649482
sample_1_real_1,0.3,"1,2",-1,0.7786936615861134
sample_1_real_1,0.3,"1,3",-1,0.7742668782386138
sample_1_real_1,0.3,"1,4",-1,0.7931920861485392
sample_1_real_1,0.3,"1,5",-1,0.7865149944884595
sample_1_real_1,0.3,"1,6",-1,0.7867784264561716
sample_1_real_1,0.3,"2,3",-1,0.887435282391539
sample_1_real_1,0.3,"2,4",-1,0.7406777787233814
sample_1_real_1,0.3,"2,5",-1,0.8532553884612496
sample_1_real_1,0.3,"2,6",-1,0.8121734913329787
sample_1_real_1,0.3,"3,4",-1,0.8190889857858209
sample_1_real_1,0.3,"3,5",-1,0.8116527440307768
sample_1_real_1,0.3,"3,6",-1,0.8367736223356659
sample_1_real_1,0.3,"4,5",-1,0.7653337270749219
sample_1_real_1,0.3,"4,6",-1,0.7419777625310634
sample_1_real_1,0.3,"5,6",-1,0.8330343774330713
sample_1_real_1,0.4,"1,2",-1,0.7754675170836575
sample_1_real_1,0.4,"1,3",-1,0.7576016516820792
sample_1_real_1,0.4,"1,4",-1,0.7534244575726665
sample_1_real_1,0.4,"1,5",-1,0.7464002224656496
sample_1_real_1,0.4,"1,6",-1,0.7671400749721494
sample_1_real_1,0.4,"2,3",-1,0.8895569278055748
sample_1_real_1,0.4,"2,4",-1,0.7615918865347011
sample_1_real_1,0.4,"2,5",-1,0.8272973526395231
sample_1_real_1,0.4,"2,6",-1,0.8172256812836428
sample_1_real_1,0.4,"3,4",-1,0.8164515123526412
sample_1_real_1,0.4,"3,5",-1,0.8495177979978339
sample_1_real_1,0.4,"3,6",-1,0.836337769951623
sample_1_real_1,0.4,"4,5",-1,0.7716280848210229
sample_1_real_1,0.4,"4,6",-1,0.7883607664525986
sample_1_real_1,0.4,"5,6",-1,0.8317702476093602
sample_1_real_1,0.5,"1,2",-1,0.7649237678045192
sample_1_real_1,0.5,"1,3",-1,0.7534823440625377
sample_1_real_1,0.5,"1,4",-1,0.7417626314574872
sample_1_real_1,0.5,"1,5",-1,0.7749335709310082
sample_1_real_1,0.5,"1,6",-1,0.7756358048960025
sample_1_real_1,0.5,"2,3",-1,0.887559038047021
sample_1_real_1,0.5,"2,4",-1,0.8028243082277325
sample_1_real_1,0.5,"2,5",-1,0.8298024869875543
sample_1_real_1,0.5,"2,6",-1,0.8131348142201196
sample_1_real_1,0.5,"3,4",-1,0.795356364128488
sample_1_real_1,0.5,"3,5",-1,0.8400199686855127
sample_1_real_1,0.5,"3,6",-1,0.8544790392939324
sample_1_real_1,0.5,"4,5",-1,0.7680920930143628
sample_1_real_1,0.5,"4,6",-1,0.7803486441519093
sample_1_real_1,0.5,"5,6",-1,0.8425034091866522
sample_1_real_1,0.6,"1,2",-1,0.8114415305067064
sample_1_real_1,0.6,"1,3",-1,0.7645142893018452
sample_1_real_1,0.6,"1,4",-1,0.7545530079768181
sample_1_real_1,0.6,"1,5",-1,0.7748260005502112
sample_1_real_1,0.6,"1,6",-1,0.7672265053418893
sample_1_real_1,0.6,"2,3",-1,0.8003822172840225
sample_1_real_1,0.6,"2,4",-1,0.8346744708509524
sample_1_real_1,0.6,"2,5",-1,0.8163052149803154
sample_1_real_1,0.6,"2,6",-1,0.8241954524498134
sample_1_real_1,0.6,"3,4",-1,0.7969314569585196
sample_1_real_1,0.6,"3,5",-1,0.85004877519002
sample_1_real_1,0.6,"3,6",-1,0.7963134913589375
sample_1_real_1,0.6,"4,5",-1,0.7869861131282843
sample_1_real_1,0.6,"4,6",-1,0.8577242657614071
sample_1_real_1,0.6,"5,6",-1,0.8183411153511191
sample_1_real_1,0.7,"1,2",-1,0.8178970355778471
sample_1_real_1,0.7,"1,3",-1,0.7649859723521347
sample_1_real_1,0.7,"1,4",-1,0.730183909917664
sample_1_real_1,0.7,"1,5",-1,0.7591007871215996
sample_1_real_1,0.7,"1,6",-1,0.74218931078968
sample_1_real_1,0.7,"2,3",-1,0.7981708820947361
sample_1_real_1,0.7,"2,4",-1,0.8581430378185729
sample_1_real_1,0.7,"2,5",-1,0.818375462648157
sample_1_real_1,0.7,"2,6",-1,0.8033176050925473
sample_1_real_1,0.7,"3,4",-1,0.8277961903641929
sample_1_real_1,0.7,"3,5",-1,0.794450054483657
sample_1_real_1,0.7,"3,6",-1,0.8005726062008812
sample_1_real_1,0.7,"4,5",-1,0.8072652784610069
sample_1_real_1,0.7,"4,6",-1,0.8031016080103291
sample_1_real_1,0.7,"5,6",-1,0.8655648593107818
sample_1_real_1,0.8,"1,2",-1,0.8083526815812095
sample_1_real_1,0.8,"1,3",-1,0.7747504152519397
sample_1_real_1,0.8,"1,4",-1,0.7952864052091592
sample_1_real_1,0.8,"1,5",-1,0.7498713262559705
sample_1_real_1,0.8,"1,6",-1,0.7438907037578467
sample_1_real_1,0.8,"2,3",-1,0.8804884350656846
